what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333716187769
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333716192502
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716199921
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716221745
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1333716237617
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1333716239783
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716247911
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716355927
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333716364805
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1333716375224
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716394497
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716405401
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1333716405417
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1333716406998
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1333716407046
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1333716410032
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1333716410295
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1333716410566
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333716411827
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1333716411827
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716413067
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716449292
opened,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333716458648
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333716458682
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333716465969
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333716483362
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333716484893
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1333716491733
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333716492518
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333716494431
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333716499456
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1333716500732
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333716510675
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333716512330
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333716514237
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1333716521008
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1333716523359
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1333716526962
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1333716546714
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1333716547638
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordNext",1333716561384
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333716570707
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716583062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716607714
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716618369
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716620421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716650488
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716652810
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716662187
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716664130
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716688583
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716689631
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716693394
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716696216
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1333716738888
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1333716764513
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333716779262
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716780651
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716801682
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1333716809815
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1333716828618
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333716842059
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333716916802
